Year,Country,Country Code,CO2 Emissions (kt) ,CO2 Emissions From Gaseous Fuel Consumption (kt) ,CO2 Emissions From Liquid Fuel Consumption (kt) ,CO2 Emissions From Solid Fuel Consumption (kt) ,GDP per Capita (current US$) ,Life Expectancy At Birth-Female (years) ,Life Expectancy At Birth-Male (years) ,Life Expectancy At Birth-Total (years) ,Methane Emissions (kt of CO2 equivalent) ,Nitrous Oxide Emissions (thousand metric tons of CO2 equivalent) ,Population-Female (% of total population) ,Population-Male (% of total population) ,Population-Total ,Total Greenhouse Gas Emissions (kt of CO2 equivalent) 
2012,CANADA,CAN,546210.02,190460.31,241970.66,75529.20,52669.09,83.8,79.60,81.65,87010.00,42150.00,50.40,49.60,34714222.00,686650.02
2012,CHINA,CHN,9541870.12,277826.59,1177675.39,7470918.45,6300.62,77.284,72.98,75.01,1122670.04,509380.00,48.62,51.38,1354190000.00,11385459.96
2012,GERMANY,DEU,760130.00,159910.54,252436.28,309597.48,43855.85,83.1,78.10,80.54,55560.00,36100.00,50.92,49.08,80425823.00,863679.99
2012,INDIA,IND,1909439.94,78151.10,435357.24,1363548.28,1443.88,68.68,66.49,67.55,628099.98,245260.00,47.98,52.02,1265780243.00,2795860.11
2012,INDONESIA,IDN,481510.01,80127.62,218956.57,192183.80,3694.36,72.047,67.78,69.87,264500.00,85770.00,49.62,50.38,248451714.00,834260.01
2012,JAPAN,JPN,1253609.99,240104.16,537050.49,425166.65,49145.28,86.41,79.94,83.10,30500.00,18760.00,51.11,48.89,127629000.00,1336089.97
2012,MOROCCO,MAR,58080.00,2398.22,37286.06,11470.38,2912.66,76.233,73.65,74.97,11100.00,8000.00,50.62,49.38,33241898.00,77550.00
2012,RUSSIAN FEDERATION,RUS,1675760.01,886629.26,401334.82,456845.86,15420.88,75.86,64.56,70.07,601710.02,54920.00,53.65,46.35,143201721.00,2354330.08
2012,SENEGAL,SEN,7450.00,55.01,4701.09,817.74,1317.78,67.152,63.60,65.45,9580.00,4760.00,51.36,48.64,13401990.00,22610.00
2012,UKRAINE,UKR,277109.99,98554.29,32551.96,159771.19,4004.80,76.02,66.11,70.94,36350.00,21680.00,53.83,46.17,45593342.00,335940.00
2012,UNITED KINGDOM,GBR,467780.00,152044.82,164545.62,145642.24,42686.80,82.8,79.10,80.90,56780.00,27660.00,50.81,49.19,63700215.00,568539.98
2012,UNITED STATES,USA,4956060.06,1365136.09,2041968.95,1626050.48,51784.42,81.2,76.40,78.74,643719.97,256760.00,50.58,49.42,313877662.00,6011120.12
2013,ARGENTINA,ARG,183250.00,90835.26,90835.26,4235.39,13080.25,79.124,72.31,75.76,120360.00,43510.00,51.30,48.70,42202935.00,364480.01
2013,AUSTRALIA,AUS,380280.00,69313.63,123412.89,174835.23,68156.63,84.3,80.10,82.15,125680.00,62980.00,50.10,49.90,23128129.00,580880.00
2013,BRAZIL,BRA,486840.00,71136.13,325988.97,68840.59,12300.39,78.193,70.84,74.48,418519.99,167210.00,50.73,49.27,201035904.00,1080709.96
2013,CANADA,CAN,555659.97,198571.72,242084.34,69137.62,52635.17,83.9,79.70,81.75,89810.00,41750.00,50.41,49.59,35082954.00,698679.99
2013,CHINA,CHN,9984570.31,320389.46,1235632.32,7499587.05,7020.34,77.635,73.24,75.32,1147020.02,522600.00,48.62,51.38,1363240000.00,11878030.27
2013,GERMANY,DEU,776150.02,167427.89,258710.52,316190.74,46298.92,83,78.10,80.49,55310.00,36730.00,50.89,49.11,80645605.00,880049.99
2013,INDIA,IND,1972430.05,101883.93,461172.92,1326152.22,1449.61,69.106,66.84,67.93,632020.02,245550.00,47.99,52.01,1280842119.00,2863840.09
2013,INDONESIA,IDN,447940.00,64806.89,229598.20,79401.55,3623.93,72.383,68.08,70.18,264880.00,83740.00,49.62,50.38,251805314.00,799099.98
2013,JAPAN,JPN,1262780.03,240775.22,512140.55,462793.74,40898.65,86.61,80.21,83.33,30220.00,19340.00,51.12,48.88,127445000.00,1348189.94
2013,MOROCCO,MAR,57590.00,2350.55,37003.70,11221.02,3121.68,76.483,73.91,75.23,11290.00,8770.00,50.56,49.44,33715705.00,78040.00
2013,RUSSIAN FEDERATION,RUS,1632680.05,884495.07,370722.70,421646.33,15974.64,76.3,65.13,70.58,603580.02,55230.00,53.66,46.34,143506995.00,2317629.88
2013,SENEGAL,SEN,8010.00,84.34,4935.78,821.41,1372.67,67.717,64.01,65.94,9850.00,5010.00,51.37,48.63,13782429.00,23800.00
2013,UKRAINE,UKR,270269.99,90365.88,27601.51,148990.21,4187.74,76.22,66.34,71.16,36780.00,23430.00,53.80,46.20,45489648.00,331260.01
2013,UNITED KINGDOM,GBR,453760.01,150666.03,157827.68,141208.84,43713.81,82.9,79.20,81.00,53140.00,27670.00,50.77,49.23,64128273.00,551159.97
2013,UNITED STATES,USA,5092100.10,1392202.22,2073013.77,1652500.55,53291.13,81.2,76.40,78.74,646169.98,259850.00,50.57,49.43,316059947.00,6152160.16
2014,ARGENTINA,ARG,179600.01,96691.46,87586.30,4176.71,12334.80,79.281,72.46,75.91,121540.00,43850.00,51.29,48.71,42669500.00,363149.99
2014,AUSTRALIA,AUS,371630.00,72606.60,120196.93,163449.19,62511.69,84.4,80.30,82.30,137670.00,75330.00,50.14,49.86,23475686.00,597270.02
2014,BRAZIL,BRA,511620.00,78096.10,342754.49,73666.36,12112.83,78.45,71.10,74.75,424290.01,174020.00,50.75,49.25,202763744.00,1118099.98
2014,CANADA,CAN,561679.99,202488.07,253327.36,74990.15,50956.00,83.9,79.80,81.80,91930.00,41190.00,50.41,49.59,35437435.00,706320.01
2014,CHINA,CHN,10006669.92,353880.17,1264106.58,7431146.16,7636.12,77.972,73.52,75.63,1161120.00,534100.00,48.63,51.37,1371860000.00,11938030.27
2014,GERMANY,DEU,736010.01,145147.19,250800.80,308387.37,48023.87,83.6,78.70,81.09,53570.00,37620.00,50.86,49.14,80982500.00,839190.00
2014,INDIA,IND,2147110.11,92694.43,510915.78,1487808.24,1573.89,69.491,67.17,68.29,634940.00,248290.00,48.00,52.00,1295600768.00,3044959.96
2014,INDONESIA,IDN,483910.00,62467.35,220775.40,41488.44,3491.64,72.698,68.37,70.48,270910.00,86890.00,49.63,50.37,255128076.00,844299.99
2014,JAPAN,JPN,1217120.00,244196.53,486277.20,447319.00,38475.40,86.83,80.50,83.59,29660.00,19260.00,51.13,48.87,127276000.00,1305829.96
2014,MOROCCO,MAR,58690.00,2247.87,34488.14,15313.39,3171.70,76.724,74.17,75.48,11480.00,8670.00,50.51,49.49,34192358.00,79240.00
2014,RUSSIAN FEDERATION,RUS,1611959.96,882731.24,393821.13,404847.80,14095.65,76.47,65.29,70.74,604070.01,57350.00,53.67,46.33,143819667.00,2302340.09
2014,SENEGAL,SEN,8570.00,73.34,5731.52,1133.10,1396.66,68.21,64.37,66.37,9850.00,4910.00,51.38,48.62,14174740.00,24380.00
2014,UKRAINE,UKR,237730.00,76599.96,29955.72,117608.02,3104.64,76.37,66.25,71.19,35300.00,23220.00,53.77,46.23,45272155.00,297019.99
2014,UNITED KINGDOM,GBR,415600.01,137281.48,161381.00,114509.41,47787.24,83.2,79.50,81.30,50760.00,28470.00,50.74,49.26,64602298.00,511660.00
2014,UNITED STATES,USA,5107209.96,1440397.60,2077395.84,1650322.35,55123.85,81.3,76.50,78.84,669719.97,261330.00,50.55,49.45,318386329.00,6197430.18
2015,ARGENTINA,ARG,185550.00,98359.94,91623.66,4008.03,13789.06,79.434,72.61,76.07,122010.00,43500.00,51.27,48.73,43131966.00,370000.00
2015,AUSTRALIA,AUS,377799.99,73809.38,117178.99,169199.05,56707.02,84.5,80.40,82.40,134160.00,71810.00,50.17,49.83,23815995.00,596979.98
2015,BRAZIL,BRA,485340.00,77241.69,317125.83,74469.44,8813.99,78.698,71.35,74.99,430370.00,171370.00,50.77,49.23,204471759.00,1095300.05
2015,CANADA,CAN,558700.01,199946.84,269326.48,70670.42,43596.14,84,79.90,81.90,92210.00,41150.00,50.41,49.59,35702908.00,704479.98
2015,CHINA,CHN,9861099.61,366949.36,1328664.11,7272926.12,8016.43,78.288,73.79,75.93,1159609.99,549330.00,48.64,51.36,1379860000.00,11818469.73
2015,GERMANY,DEU,742310.00,149224.90,253774.74,308486.38,41103.26,83.1,78.30,80.64,52720.00,36740.00,50.82,49.18,81686611.00,843880.00
2015,INDIA,IND,2158020.02,98994.33,599316.15,1488152.94,1605.61,69.835,67.47,68.61,638820.01,252300.00,48.00,52.00,1310152392.00,3064540.04
2015,INDONESIA,IDN,488549.99,94329.91,219587.29,153478.62,3331.70,72.992,68.65,70.77,271359.99,86970.00,49.64,50.36,258383257.00,849510.01
2015,JAPAN,JPN,1179439.94,229517.53,459471.43,447473.01,34960.64,86.99,80.75,83.79,28850.00,18720.00,51.14,48.86,127141000.00,1270469.97
